file_path,filename,year,run_label,telescope,date_obs,object_raw,object_clean,imagetyp_raw,imagetyp,filter_raw,filter_canonical,exptime,ra,dec,airmass,naxis1,naxis2,xbinning,ybinning,ccd_temp,observer,instrume,simbad_name,simbad_ra,simbad_dec,simbad_type,error
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-013-clear.fit,HAT-P-32-013-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:00:17,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-014-clear.fit,HAT-P-32-014-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:00:53,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-015-clear.fit,HAT-P-32-015-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:01:29,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-016-clear.fit,HAT-P-32-016-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:02:06,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-017-clear.fit,HAT-P-32-017-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:02:42,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-018-clear.fit,HAT-P-32-018-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:03:18,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-019-clear.fit,HAT-P-32-019-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:03:54,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-020-clear.fit,HAT-P-32-020-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:04:31,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-021-clear.fit,HAT-P-32-021-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:05:08,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-022-clear.fit,HAT-P-32-022-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:05:43,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-023-clear.fit,HAT-P-32-023-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:06:20,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-024-clear.fit,HAT-P-32-024-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:06:56,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-025-clear.fit,HAT-P-32-025-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:07:33,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-026-clear.fit,HAT-P-32-026-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:08:09,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-027-clear.fit,HAT-P-32-027-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:08:45,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-028-clear.fit,HAT-P-32-028-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:09:21,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-029-clear.fit,HAT-P-32-029-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:09:56,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-030-clear.fit,HAT-P-32-030-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:10:33,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.03125,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-031-clear.fit,HAT-P-32-031-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:11:09,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-032-clear.fit,HAT-P-32-032-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:11:45,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-033-clear.fit,HAT-P-32-033-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:12:21,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-034-clear.fit,HAT-P-32-034-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:12:58,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-035-clear.fit,HAT-P-32-035-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:13:37,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-036-clear.fit,HAT-P-32-036-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:14:13,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-037-clear.fit,HAT-P-32-037-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:14:49,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-038-clear.fit,HAT-P-32-038-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:15:27,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-039-clear.fit,HAT-P-32-039-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:16:02,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-040-clear.fit,HAT-P-32-040-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:16:38,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-041-clear.fit,HAT-P-32-041-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:17:14,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.9375,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-042-clear.fit,HAT-P-32-042-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:17:50,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-043-clear.fit,HAT-P-32-043-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:18:26,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-044-clear.fit,HAT-P-32-044-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:19:01,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-045-clear.fit,HAT-P-32-045-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:19:37,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-046-clear.fit,HAT-P-32-046-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:20:13,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-047-clear.fit,HAT-P-32-047-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:20:51,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-25.0,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-048-clear.fit,HAT-P-32-048-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:21:27,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
/Users/hjmcc/Archive/ohp/201801OHP_M2/DATA/OHP_T080_20180112/HAT-P-32-049-clear.fit,HAT-P-32-049-clear.fit,2018,201801OHP_M2,T080,2018-01-12T18:22:03,HAT-P-32,HAT-P-32,Light Frame,science,CLEAR,Clear,30.0,,,,1536,1023,2,2,-24.96875,,SBIG STXL-6303 3 CCD Camera,HAT-P-32,31.042823,46.687837,Star,
